country_name,country_code,series_name,series_code,2014,2015,2016,2017,2018
Angola,AGO,Control of Corruption: Percentile Rank,CC.PER.RNK,3.846154,3.846154,5.769231,6.25,11.53846
Angola,AGO,Government Effectiveness: Percentile Rank,GE.PER.RNK,13.46154,15.38461,13.46154,14.90385,13.94231
Angola,AGO,Regulatory Quality: Percentile Rank,RQ.PER.RNK,16.82692,17.78846,13.46154,12.5,12.98077
Angola,AGO,Rule of Law: Percentile Rank,RL.PER.RNK,11.05769,12.5,12.5,11.53846,13.94231
Angola,AGO,Voice and Accountability: Percentile Rank,VA.PER.RNK,15.27094,15.27094,16.74877,17.73399,22.6601
Anguilla,AIA,Control of Corruption: Percentile Rank,CC.PER.RNK,87.01923,87.01923,87.5,86.53846,86.53846
Anguilla,AIA,Government Effectiveness: Percentile Rank,GE.PER.RNK,77.88461,79.32692,87.98077,76.44231,76.44231
Anguilla,AIA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,77.88461,78.36539,78.36539,77.88461,77.40385
Anguilla,AIA,Rule of Law: Percentile Rank,RL.PER.RNK,59.13462,56.73077,51.92308,51.44231,51.44231
Anguilla,AIA,Voice and Accountability: Percentile Rank,VA.PER.RNK,..,..,..,..,..
Antigua and Barbuda,ATG,Control of Corruption: Percentile Rank,CC.PER.RNK,74.03846,75.48077,74.51923,62.98077,63.46154
Antigua and Barbuda,ATG,Government Effectiveness: Percentile Rank,GE.PER.RNK,51.92308,62.5,64.42308,53.84615,52.88462
Antigua and Barbuda,ATG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,70.19231,65.86539,65.38461,63.94231,66.82692
Antigua and Barbuda,ATG,Rule of Law: Percentile Rank,RL.PER.RNK,49.51923,70.67308,70.19231,66.82692,65.38461
Antigua and Barbuda,ATG,Voice and Accountability: Percentile Rank,VA.PER.RNK,66.99507,68.47291,67.98029,68.47291,69.45813
Argentina,ARG,Control of Corruption: Percentile Rank,CC.PER.RNK,35.09615,33.65385,47.11538,47.59615,54.32692
Argentina,ARG,Government Effectiveness: Percentile Rank,GE.PER.RNK,46.63462,50,60.09615,58.65385,54.80769
Argentina,ARG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,12.5,17.30769,33.65385,41.34615,42.30769
Argentina,ARG,Rule of Law: Percentile Rank,RL.PER.RNK,18.75,24.03846,37.5,46.15385,45.67308
Argentina,ARG,Voice and Accountability: Percentile Rank,VA.PER.RNK,59.1133,60.09852,63.5468,65.51724,66.99507
Armenia,ARM,Control of Corruption: Percentile Rank,CC.PER.RNK,36.05769,35.09615,32.69231,32.69231,42.78846
Armenia,ARM,Government Effectiveness: Percentile Rank,GE.PER.RNK,45.67308,48.55769,49.03846,49.51923,51.44231
Armenia,ARM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,59.61538,61.05769,62.98077,64.42308,62.5
Armenia,ARM,Rule of Law: Percentile Rank,RL.PER.RNK,41.34615,41.34615,50.48077,49.51923,48.55769
Armenia,ARM,Voice and Accountability: Percentile Rank,VA.PER.RNK,30.54187,29.55665,31.03448,32.0197,40.39409
Aruba,ABW,Control of Corruption: Percentile Rank,CC.PER.RNK,81.73077,88.46154,89.42308,87.98077,87.01923
Aruba,ABW,Government Effectiveness: Percentile Rank,GE.PER.RNK,75.48077,76.44231,76.44231,79.32692,80.28846
Aruba,ABW,Regulatory Quality: Percentile Rank,RQ.PER.RNK,88.46154,90.38461,88.94231,84.13461,77.88461
Aruba,ABW,Rule of Law: Percentile Rank,RL.PER.RNK,81.73077,85.57692,87.01923,87.01923,87.01923
Aruba,ABW,Voice and Accountability: Percentile Rank,VA.PER.RNK,92.11823,91.62562,92.11823,92.61084,91.62562
Australia,AUS,Control of Corruption: Percentile Rank,CC.PER.RNK,95.19231,94.23077,93.26923,92.78846,92.78846
Australia,AUS,Government Effectiveness: Percentile Rank,GE.PER.RNK,92.30769,92.30769,92.30769,92.30769,92.78846
Australia,AUS,Regulatory Quality: Percentile Rank,RQ.PER.RNK,98.07692,96.15385,97.59615,98.07692,98.07692
Australia,AUS,Rule of Law: Percentile Rank,RL.PER.RNK,96.15385,94.71154,94.71154,93.26923,92.78846
Australia,AUS,Voice and Accountability: Percentile Rank,VA.PER.RNK,93.59606,93.10345,94.08867,94.58128,95.56651
Austria,AUT,Control of Corruption: Percentile Rank,CC.PER.RNK,90.38461,90.86539,91.34615,90.86539,91.34615
Austria,AUT,Government Effectiveness: Percentile Rank,GE.PER.RNK,91.34615,90.38461,91.82692,91.82692,90.86539
Austria,AUT,Regulatory Quality: Percentile Rank,RQ.PER.RNK,91.34615,91.34615,91.34615,90.86539,91.34615
Austria,AUT,Rule of Law: Percentile Rank,RL.PER.RNK,96.63461,96.15385,95.67308,96.15385,97.59615
Austria,AUT,Voice and Accountability: Percentile Rank,VA.PER.RNK,94.58128,94.08867,93.59606,93.59606,93.10345
Azerbaijan,AZE,Control of Corruption: Percentile Rank,CC.PER.RNK,14.42308,16.82692,19.23077,17.78846,21.63461
Azerbaijan,AZE,Government Effectiveness: Percentile Rank,GE.PER.RNK,41.82692,44.71154,48.07692,47.59615,49.03846
Azerbaijan,AZE,Regulatory Quality: Percentile Rank,RQ.PER.RNK,44.23077,46.15385,43.75,43.26923,37.01923
Azerbaijan,AZE,Rule of Law: Percentile Rank,RL.PER.RNK,28.84615,30.28846,32.21154,32.21154,29.32692
Azerbaijan,AZE,Voice and Accountability: Percentile Rank,VA.PER.RNK,7.389163,6.896552,6.403941,6.896552,7.881773
"Bahamas, The",BHS,Control of Corruption: Percentile Rank,CC.PER.RNK,88.46154,83.17308,81.73077,83.65385,83.17308
"Bahamas, The",BHS,Government Effectiveness: Percentile Rank,GE.PER.RNK,74.03846,73.55769,74.03846,72.59615,71.63461
"Bahamas, The",BHS,Regulatory Quality: Percentile Rank,RQ.PER.RNK,56.73077,57.69231,63.46154,58.65385,61.05769
"Bahamas, The",BHS,Rule of Law: Percentile Rank,RL.PER.RNK,75.48077,72.59615,60.57692,60.09615,57.21154
"Bahamas, The",BHS,Voice and Accountability: Percentile Rank,VA.PER.RNK,80.29556,75.86207,74.87685,74.87685,73.39902
Bahrain,BHR,Control of Corruption: Percentile Rank,CC.PER.RNK,63.94231,61.05769,57.69231,51.92308,51.44231
Bahrain,BHR,Government Effectiveness: Percentile Rank,GE.PER.RNK,72.59615,73.07692,65.86539,61.05769,59.61538
Bahrain,BHR,Regulatory Quality: Percentile Rank,RQ.PER.RNK,74.03846,76.44231,72.11539,66.82692,67.78846
Bahrain,BHR,Rule of Law: Percentile Rank,RL.PER.RNK,68.26923,67.30769,67.30769,67.30769,66.34615
Bahrain,BHR,Voice and Accountability: Percentile Rank,VA.PER.RNK,11.33005,11.82266,11.33005,11.33005,10.83744
Bangladesh,BGD,Control of Corruption: Percentile Rank,CC.PER.RNK,19.23077,22.11539,18.75,19.23077,16.82692
Bangladesh,BGD,Government Effectiveness: Percentile Rank,GE.PER.RNK,22.59615,24.03846,25.48077,22.11539,21.63461
Bangladesh,BGD,Regulatory Quality: Percentile Rank,RQ.PER.RNK,17.78846,18.26923,22.11539,20.67308,19.23077
Bangladesh,BGD,Rule of Law: Percentile Rank,RL.PER.RNK,23.55769,25.96154,27.88461,28.36539,28.36539
Bangladesh,BGD,Voice and Accountability: Percentile Rank,VA.PER.RNK,32.0197,30.54187,30.54187,30.04926,27.58621
Barbados,BRB,Control of Corruption: Percentile Rank,CC.PER.RNK,82.69231,90.38461,87.98077,89.42308,88.94231
Barbados,BRB,Government Effectiveness: Percentile Rank,GE.PER.RNK,86.05769,80.28846,81.73077,77.40385,68.75
Barbados,BRB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,64.42308,71.15385,68.75,70.67308,72.11539
Barbados,BRB,Rule of Law: Percentile Rank,RL.PER.RNK,83.17308,82.21154,77.40385,75.48077,65.86539
Barbados,BRB,Voice and Accountability: Percentile Rank,VA.PER.RNK,85.71429,83.74384,83.74384,84.23645,84.23645
Belarus,BLR,Control of Corruption: Percentile Rank,CC.PER.RNK,48.07692,46.63462,48.55769,47.11538,49.03846
Belarus,BLR,Government Effectiveness: Percentile Rank,GE.PER.RNK,34.61538,37.98077,36.05769,39.42308,40.38462
Belarus,BLR,Regulatory Quality: Percentile Rank,RQ.PER.RNK,15.38461,14.90385,16.34615,24.51923,25.96154
Belarus,BLR,Rule of Law: Percentile Rank,RL.PER.RNK,20.67308,22.59615,26.44231,21.63461,19.23077
Belarus,BLR,Voice and Accountability: Percentile Rank,VA.PER.RNK,7.881773,8.374384,12.80788,12.31527,11.82266
Belgium,BEL,Control of Corruption: Percentile Rank,CC.PER.RNK,91.34615,91.82692,92.78846,89.90385,90.38461
Belgium,BEL,Government Effectiveness: Percentile Rank,GE.PER.RNK,88.46154,88.94231,86.53846,85.09615,83.65385
Belgium,BEL,Regulatory Quality: Percentile Rank,RQ.PER.RNK,84.61539,88.46154,88.46154,86.53846,86.05769
Belgium,BEL,Rule of Law: Percentile Rank,RL.PER.RNK,88.94231,88.94231,88.46154,87.5,88.46154
Belgium,BEL,Voice and Accountability: Percentile Rank,VA.PER.RNK,94.08867,94.58128,95.56651,95.07389,94.08867
Belize,BLZ,Control of Corruption: Percentile Rank,CC.PER.RNK,51.92308,51.92308,49.51923,45.67308,51.92308
Belize,BLZ,Government Effectiveness: Percentile Rank,GE.PER.RNK,25.96154,25.96154,25.96154,27.40385,30.28846
Belize,BLZ,Regulatory Quality: Percentile Rank,RQ.PER.RNK,33.17308,36.05769,31.25,31.25,26.44231
Belize,BLZ,Rule of Law: Percentile Rank,RL.PER.RNK,25.96154,27.88461,18.26923,15.86539,20.19231
Belize,BLZ,Voice and Accountability: Percentile Rank,VA.PER.RNK,65.02463,66.99507,66.50246,66.99507,61.08374
Benin,BEN,Control of Corruption: Percentile Rank,CC.PER.RNK,29.80769,33.17308,34.13462,33.65385,41.34615
Benin,BEN,Government Effectiveness: Percentile Rank,GE.PER.RNK,36.05769,30.28846,33.65385,25.96154,32.69231
Benin,BEN,Regulatory Quality: Percentile Rank,RQ.PER.RNK,31.25,30.76923,30.28846,33.17308,38.94231
Benin,BEN,Rule of Law: Percentile Rank,RL.PER.RNK,36.05769,33.65385,30.76923,30.28846,26.92308
Benin,BEN,Voice and Accountability: Percentile Rank,VA.PER.RNK,57.14286,58.62069,60.59113,59.1133,57.63547
Bermuda,BMU,Control of Corruption: Percentile Rank,CC.PER.RNK,87.01923,87.01923,87.5,86.53846,86.53846
Bermuda,BMU,Government Effectiveness: Percentile Rank,GE.PER.RNK,77.88461,79.32692,87.98077,89.90385,88.94231
Bermuda,BMU,Regulatory Quality: Percentile Rank,RQ.PER.RNK,77.88461,78.36539,78.36539,77.88461,77.40385
Bermuda,BMU,Rule of Law: Percentile Rank,RL.PER.RNK,59.13462,78.84615,79.80769,79.32692,78.84615
Bermuda,BMU,Voice and Accountability: Percentile Rank,VA.PER.RNK,..,..,..,..,..
Bhutan,BTN,Control of Corruption: Percentile Rank,CC.PER.RNK,87.5,82.21154,82.21154,91.82692,91.82692
Bhutan,BTN,Government Effectiveness: Percentile Rank,GE.PER.RNK,62.5,67.78846,70.19231,71.63461,67.30769
Bhutan,BTN,Regulatory Quality: Percentile Rank,RQ.PER.RNK,16.34615,26.92308,26.92308,38.94231,39.42308
Bhutan,BTN,Rule of Law: Percentile Rank,RL.PER.RNK,67.78846,70.19231,68.75,74.03846,71.63461
Bhutan,BTN,Voice and Accountability: Percentile Rank,VA.PER.RNK,44.82759,46.30542,46.30542,46.79803,49.7537
Bolivia,BOL,Control of Corruption: Percentile Rank,CC.PER.RNK,30.28846,26.92308,25,28.36539,28.84615
Bolivia,BOL,Government Effectiveness: Percentile Rank,GE.PER.RNK,28.84615,29.32692,33.17308,37.98077,39.90385
Bolivia,BOL,Regulatory Quality: Percentile Rank,RQ.PER.RNK,20.67308,19.23077,17.30769,16.34615,15.86539
Bolivia,BOL,Rule of Law: Percentile Rank,RL.PER.RNK,12.98077,10.57692,9.615385,9.615385,9.615385
Bolivia,BOL,Voice and Accountability: Percentile Rank,VA.PER.RNK,48.27586,46.79803,45.3202,45.81281,44.33498
Bosnia and Herzegovina,BIH,Control of Corruption: Percentile Rank,CC.PER.RNK,47.59615,43.26923,37.01923,37.01923,31.73077
Bosnia and Herzegovina,BIH,Government Effectiveness: Percentile Rank,GE.PER.RNK,36.53846,33.17308,39.42308,34.61538,28.36539
Bosnia and Herzegovina,BIH,Regulatory Quality: Percentile Rank,RQ.PER.RNK,50.96154,47.59615,48.55769,48.07692,45.19231
Bosnia and Herzegovina,BIH,Rule of Law: Percentile Rank,RL.PER.RNK,49.03846,46.15385,46.15385,47.11538,46.63462
Bosnia and Herzegovina,BIH,Voice and Accountability: Percentile Rank,VA.PER.RNK,46.30542,43.34975,41.87192,39.40887,37.43842
Botswana,BWA,Control of Corruption: Percentile Rank,CC.PER.RNK,78.36539,77.40385,80.76923,78.84615,77.88461
Botswana,BWA,Government Effectiveness: Percentile Rank,GE.PER.RNK,66.34615,71.15385,71.15385,68.75,65.38461
Botswana,BWA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,72.11539,68.26923,70.19231,69.71154,68.75
Botswana,BWA,Rule of Law: Percentile Rank,RL.PER.RNK,74.03846,72.11539,71.15385,69.23077,68.75
Botswana,BWA,Voice and Accountability: Percentile Rank,VA.PER.RNK,61.08374,61.57635,58.62069,60.09852,62.56158
Brazil,BRA,Control of Corruption: Percentile Rank,CC.PER.RNK,46.63462,42.78846,42.78846,36.05769,40.38462
Brazil,BRA,Government Effectiveness: Percentile Rank,GE.PER.RNK,47.59615,48.07692,46.63462,41.82692,36.05769
Brazil,BRA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,51.44231,48.07692,46.63462,51.44231,39.90385
Brazil,BRA,Rule of Law: Percentile Rank,RL.PER.RNK,56.25,51.44231,49.03846,43.26923,44.23077
Brazil,BRA,Voice and Accountability: Percentile Rank,VA.PER.RNK,62.06897,62.06897,62.06897,61.57635,60.59113
Brunei Darussalam,BRN,Control of Corruption: Percentile Rank,CC.PER.RNK,69.71154,69.23077,70.19231,75,79.80769
Brunei Darussalam,BRN,Government Effectiveness: Percentile Rank,GE.PER.RNK,82.21154,82.21154,82.21154,84.13461,87.01923
Brunei Darussalam,BRN,Regulatory Quality: Percentile Rank,RQ.PER.RNK,79.80769,76.92308,71.15385,75.48077,74.51923
Brunei Darussalam,BRN,Rule of Law: Percentile Rank,RL.PER.RNK,69.23077,66.82692,71.63461,74.51923,75
Brunei Darussalam,BRN,Voice and Accountability: Percentile Rank,VA.PER.RNK,29.06404,26.10837,23.15271,22.6601,24.63054
Bulgaria,BGR,Control of Corruption: Percentile Rank,CC.PER.RNK,50.48077,49.51923,50.96154,50.96154,50.96154
Bulgaria,BGR,Government Effectiveness: Percentile Rank,GE.PER.RNK,57.69231,61.05769,64.90385,63.46154,62.98077
Bulgaria,BGR,Regulatory Quality: Percentile Rank,RQ.PER.RNK,70.67308,70.67308,73.55769,72.59615,72.59615
Bulgaria,BGR,Rule of Law: Percentile Rank,RL.PER.RNK,56.73077,54.32692,52.40385,51.92308,53.36538
Bulgaria,BGR,Voice and Accountability: Percentile Rank,VA.PER.RNK,59.60591,61.08374,59.1133,58.62069,59.1133
Burkina Faso,BFA,Control of Corruption: Percentile Rank,CC.PER.RNK,38.46154,48.55769,52.88462,53.36538,53.36538
Burkina Faso,BFA,Government Effectiveness: Percentile Rank,GE.PER.RNK,29.32692,30.76923,34.13462,31.25,31.25
Burkina Faso,BFA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,42.78846,40.86538,37.98077,34.61538,36.05769
Burkina Faso,BFA,Rule of Law: Percentile Rank,RL.PER.RNK,33.17308,34.61538,35.09615,39.42308,34.61538
Burkina Faso,BFA,Voice and Accountability: Percentile Rank,VA.PER.RNK,35.96059,42.85714,47.78325,48.27586,43.84237
Burundi,BDI,Control of Corruption: Percentile Rank,CC.PER.RNK,8.653846,9.134615,10.09615,9.134615,5.288462
Burundi,BDI,Government Effectiveness: Percentile Rank,GE.PER.RNK,12.98077,11.53846,7.211538,8.173077,8.173077
Burundi,BDI,Regulatory Quality: Percentile Rank,RQ.PER.RNK,27.40385,27.40385,20.67308,18.26923,13.46154
Burundi,BDI,Rule of Law: Percentile Rank,RL.PER.RNK,14.90385,9.615385,7.211538,7.211538,5.769231
Burundi,BDI,Voice and Accountability: Percentile Rank,VA.PER.RNK,21.18227,13.30049,7.881773,6.403941,5.418719
Cabo Verde,CPV,Control of Corruption: Percentile Rank,CC.PER.RNK,79.32692,79.80769,78.84615,80.28846,78.36539
Cabo Verde,CPV,Government Effectiveness: Percentile Rank,GE.PER.RNK,56.73077,60.09615,57.69231,59.13462,64.42308
Cabo Verde,CPV,Regulatory Quality: Percentile Rank,RQ.PER.RNK,48.07692,45.19231,42.78846,46.15385,43.26923
Cabo Verde,CPV,Rule of Law: Percentile Rank,RL.PER.RNK,74.51923,71.15385,63.46154,64.90385,67.78846
Cabo Verde,CPV,Voice and Accountability: Percentile Rank,VA.PER.RNK,75.36946,75.36946,76.84729,76.84729,79.80296
Cambodia,KHM,Control of Corruption: Percentile Rank,CC.PER.RNK,11.53846,12.01923,9.134615,8.653846,8.653846
Cambodia,KHM,Government Effectiveness: Percentile Rank,GE.PER.RNK,25,25,24.03846,25.48077,32.21154
Cambodia,KHM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,35.57692,31.73077,34.13462,32.21154,32.69231
Cambodia,KHM,Rule of Law: Percentile Rank,RL.PER.RNK,15.86539,14.90385,12.98077,13.46154,11.05769
Cambodia,KHM,Voice and Accountability: Percentile Rank,VA.PER.RNK,18.71921,18.2266,18.2266,15.76355,13.7931
Cameroon,CMR,Control of Corruption: Percentile Rank,CC.PER.RNK,10.57692,12.98077,11.53846,11.05769,11.05769
Cameroon,CMR,Government Effectiveness: Percentile Rank,GE.PER.RNK,21.63461,21.63461,22.11539,20.19231,19.71154
Cameroon,CMR,Regulatory Quality: Percentile Rank,RQ.PER.RNK,19.71154,16.82692,23.07692,20.19231,20.19231
Cameroon,CMR,Rule of Law: Percentile Rank,RL.PER.RNK,17.78846,15.38461,13.94231,14.90385,12.5
Cameroon,CMR,Voice and Accountability: Percentile Rank,VA.PER.RNK,21.67488,22.6601,21.18227,20.19704,18.2266
Canada,CAN,Control of Corruption: Percentile Rank,CC.PER.RNK,94.23077,95.19231,96.15385,95.67308,94.71154
Canada,CAN,Government Effectiveness: Percentile Rank,GE.PER.RNK,95.19231,94.71154,95.19231,97.11539,94.71154
Canada,CAN,Regulatory Quality: Percentile Rank,RQ.PER.RNK,97.59615,93.75,94.23077,97.59615,93.75
Canada,CAN,Rule of Law: Percentile Rank,RL.PER.RNK,95.19231,95.67308,96.63461,95.67308,94.71154
Canada,CAN,Voice and Accountability: Percentile Rank,VA.PER.RNK,95.56651,96.05911,96.05911,96.05911,96.05911
Cayman Islands,CYM,Control of Corruption: Percentile Rank,CC.PER.RNK,81.73077,81.73077,68.75,69.23077,68.26923
Cayman Islands,CYM,Government Effectiveness: Percentile Rank,GE.PER.RNK,85.57692,84.61539,85.09615,85.57692,85.57692
Cayman Islands,CYM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,76.44231,75.96154,75.96154,75.96154,80.76923
Cayman Islands,CYM,Rule of Law: Percentile Rank,RL.PER.RNK,73.07692,77.40385,77.88461,76.92308,76.44231
Cayman Islands,CYM,Voice and Accountability: Percentile Rank,VA.PER.RNK,63.05419,62.56158,63.05419,62.06897,64.03941
Central African Republic,CAF,Control of Corruption: Percentile Rank,CC.PER.RNK,11.05769,7.211538,8.653846,11.53846,10.57692
Central African Republic,CAF,Government Effectiveness: Percentile Rank,GE.PER.RNK,1.442308,1.442308,2.884615,3.365385,2.884615
Central African Republic,CAF,Regulatory Quality: Percentile Rank,RQ.PER.RNK,5.769231,5.288462,5.769231,4.807693,6.730769
Central African Republic,CAF,Rule of Law: Percentile Rank,RL.PER.RNK,1.442308,1.442308,2.403846,2.884615,3.846154
Central African Republic,CAF,Voice and Accountability: Percentile Rank,VA.PER.RNK,8.866995,13.7931,19.21182,17.24138,14.77833
Chad,TCD,Control of Corruption: Percentile Rank,CC.PER.RNK,6.25,5.288462,4.807693,5.288462,6.730769
Chad,TCD,Government Effectiveness: Percentile Rank,GE.PER.RNK,6.25,6.730769,6.25,6.25,6.730769
Chad,TCD,Regulatory Quality: Percentile Rank,RQ.PER.RNK,10.57692,9.134615,9.615385,9.134615,11.53846
Chad,TCD,Rule of Law: Percentile Rank,RL.PER.RNK,9.615385,8.653846,7.692307,8.653846,7.211538
Chad,TCD,Voice and Accountability: Percentile Rank,VA.PER.RNK,10.83744,11.33005,11.82266,11.82266,8.374384
Chile,CHL,Control of Corruption: Percentile Rank,CC.PER.RNK,90.86539,87.5,82.69231,82.21154,81.73077
Chile,CHL,Government Effectiveness: Percentile Rank,GE.PER.RNK,84.61539,83.17308,79.32692,77.88461,81.73077
Chile,CHL,Regulatory Quality: Percentile Rank,RQ.PER.RNK,91.82692,88.94231,89.90385,88.94231,88.94231
Chile,CHL,Rule of Law: Percentile Rank,RL.PER.RNK,87.98077,87.01923,85.09615,81.73077,83.65385
Chile,CHL,Voice and Accountability: Percentile Rank,VA.PER.RNK,80.78818,79.31035,77.83251,79.31035,82.26601
China,CHN,Control of Corruption: Percentile Rank,CC.PER.RNK,45.67308,48.07692,49.03846,46.63462,45.67308
China,CHN,Government Effectiveness: Percentile Rank,GE.PER.RNK,64.90385,68.26923,66.82692,67.78846,69.71154
China,CHN,Regulatory Quality: Percentile Rank,RQ.PER.RNK,43.75,44.23077,44.23077,48.55769,48.07692
China,CHN,Rule of Law: Percentile Rank,RL.PER.RNK,38.94231,39.90385,41.34615,44.71154,48.07692
China,CHN,Voice and Accountability: Percentile Rank,VA.PER.RNK,5.418719,4.926108,6.896552,7.881773,8.866995
Colombia,COL,Control of Corruption: Percentile Rank,CC.PER.RNK,44.23077,47.59615,44.71154,43.75,44.71154
Colombia,COL,Government Effectiveness: Percentile Rank,GE.PER.RNK,49.51923,52.40385,53.36538,51.44231,50
Colombia,COL,Regulatory Quality: Percentile Rank,RQ.PER.RNK,67.78846,68.75,67.30769,65.86539,65.38461
Colombia,COL,Rule of Law: Percentile Rank,RL.PER.RNK,44.71154,46.63462,43.75,40.38462,38.46154
Colombia,COL,Voice and Accountability: Percentile Rank,VA.PER.RNK,47.78325,47.78325,49.7537,49.26109,52.70936
Comoros,COM,Control of Corruption: Percentile Rank,CC.PER.RNK,31.73077,25.96154,29.32692,26.44231,22.59615
Comoros,COM,Government Effectiveness: Percentile Rank,GE.PER.RNK,2.403846,5.769231,5.288462,5.288462,3.846154
Comoros,COM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,11.53846,13.46154,12.5,12.98077,11.05769
Comoros,COM,Rule of Law: Percentile Rank,RL.PER.RNK,18.26923,21.63461,16.34615,13.94231,12.01923
Comoros,COM,Voice and Accountability: Percentile Rank,VA.PER.RNK,37.93103,36.94581,37.93103,36.4532,33.00492
"Congo, Dem. Rep.",COD,Control of Corruption: Percentile Rank,CC.PER.RNK,7.211538,8.173077,7.211538,5.769231,3.846154
"Congo, Dem. Rep.",COD,Government Effectiveness: Percentile Rank,GE.PER.RNK,4.326923,2.884615,6.730769,4.807693,5.769231
"Congo, Dem. Rep.",COD,Regulatory Quality: Percentile Rank,RQ.PER.RNK,6.730769,6.25,7.692307,5.288462,5.769231
"Congo, Dem. Rep.",COD,Rule of Law: Percentile Rank,RL.PER.RNK,3.365385,2.884615,4.807693,3.846154,2.884615
"Congo, Dem. Rep.",COD,Voice and Accountability: Percentile Rank,VA.PER.RNK,12.31527,12.31527,9.852217,8.374384,7.389163
"Congo, Rep.",COG,Control of Corruption: Percentile Rank,CC.PER.RNK,10.09615,10.57692,10.57692,8.173077,7.692307
"Congo, Rep.",COG,Government Effectiveness: Percentile Rank,GE.PER.RNK,14.42308,14.90385,12.01923,10.57692,10.09615
"Congo, Rep.",COG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,9.615385,10.09615,10.57692,7.211538,7.211538
"Congo, Rep.",COG,Rule of Law: Percentile Rank,RL.PER.RNK,11.53846,12.98077,12.01923,12.01923,11.53846
"Congo, Rep.",COG,Voice and Accountability: Percentile Rank,VA.PER.RNK,18.2266,21.18227,15.27094,16.74877,15.27094
Cook Islands,COK,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..
Cook Islands,COK,Government Effectiveness: Percentile Rank,GE.PER.RNK,..,..,..,..,..
Cook Islands,COK,Regulatory Quality: Percentile Rank,RQ.PER.RNK,..,..,..,..,..
